University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
null;null;null;null;ENVIRONMENTAL BIOTECHNOLOGY;EBT360S;null;null
null;null;null;null;ENVIRONMENTAL CHEMISTRY;ENC360S;null;null
null;null;null;null;ENVIRONMENTAL ECONOMICS;EVE360S;null;null
null;null;null;null;ENVIRONMENTAL GEOHYDROLOGY;EGH360S;null;null
null;null;null;null;ENVIRONMENTAL GEOLOGY;EVG360S;null;null
null;null;null;null;GEOTECHNOLOGY 3;GTY360S;null;null
null;null;null;null;PROFESSIONAL ENVIRONMENTAL PRACTICE 3;PEP360S;null;null
null;null;Extended BACHELOR OF ENVIRONMENTAL HEALTH;1;ANATOMY AND PHYSIOLOGY;ANP150X;null;null
null;null;null;null;MICROBIOLOGY;MIB151X;null;null
null;null;null;null;SOCIOLOGY;SOC150X;null;null
null;null;null;null;SUSTAINABLE DEVELOPMENT;SDV150X;null;null
null;null;null;2;ADMINISTRATION AND MANAGEMENT PRACTICE 2;AMP260S;null;null
null;null;null;null;COMMUNITY DEVELOPMENT;CMD261S;null;null
null;null;null;null;ENVIRONMENTAL POLLUTION 2: ASSESSMENT;EPA260S;null;null
null;null;null;null;EPIDEMIOLOGY 2: INFECTIOUS DISEASE;EPI260S;null;null
null;null;null;null;FOOD AND MEAT HYGIENE 2;FMH260S;null;null
null;null;null;null;OCCUPATIONAL HEALTH AND SAFETY 2: ASSESSMENT;OHS260S;null;null
null;null;null;null;PLANNING FOR THE BUILT;PBE260S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 2;PFP260S;null;null
null;null;null;3;ADMINISTRATION AND MANAGEMENT PRACTICE 3;AMP370S;null;null
null;null;null;null;ENVIRONMENTAL POLLUTION 3: CONTROL;EPA370S;null;null
null;null;null;null;ENVIRONMENTAL TOXICOLOGY;ETX370S;null;null
null;null;null;null;EPIDEMIOLOGY 3: ENVIRONMENT;EPI370S;null;null
null;null;null;null;FOOD PROCESSING AND SAFETY 3;FPS370S;null;null
null;null;null;null;OCCUPATIONAL HEALTH AND SAFETY 3: CONTROL;OHS370S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 3;PFP370S;null;null
null;null;null;null;RESEARCH METHODOLOGY;RMY370S;null;null
null;null;null;4;ADMINISTRATION AND MANAGEMENT PRACTICE 4;AMP480S;null;null
null;null;null;null;DISASTER MANAGEMENT;DSM480S;null;null
null;null;null;null;ENVIRONMTL POLLUTION 4: MNGMENT & REMEDIATION;EPA480S;null;null
null;null;null;null;EPIDEMIOLOGY 4: APPLIED;EPI480S;null;null
null;null;null;null;FOOD QUALITY AND SAFETY MANAGEMENT 4;FQS480S;null;null
null;null;null;null;OCCUP HEALTH & SAFETY 4: MANAGEMENT SYSTEMS;OHS480S;null;null
null;null;null;null;PROFESSIONAL PRACTICE & RESEARCH PROJECT 4;PFP480S;null;null
null;null;Extended Diploma in Environmental management;1;CHEMISTRY 1;CHM150X;null;null
null;null;null;null;ENVIRONMENTAL GEOLOGY 1B;EGE151X;null;null
null;null;null;null;ENVIRONMENTAL MANAGEMENT 1B;EVM151X;null;null
null;null;null;null;ENVIRONMENTAL MICROBIOLOGY 1;MBY150X;null;null
null;null;null;null;ENVIRONMENTAL RESOURCES 1B;EVR151X;null;null
null;null;null;null;GEOTECHNOLOGY 1;GTY150X;null;null
null;null;null;2;ENVIRONMENTAL CHEMISTRY 2;ENC260S;null;null
null;null;null;null;ENVIRONMENTAL GEOLOGY 2A;EVG260S;null;null
null;null;null;null;ENVIRONMENTAL LEGISLATION 2;EVL260S;null;null
null;null;null;null;ENVIRONMENTAL MANAGEMENT 2A;EVM260S;null;null
null;null;null;null;ENVIRONMENTAL RESOURCES 2A;ERS260S;null;null
null;null;null;null;GEOTECHNOLOGY 2;GTY260S;null;null
null;null;null;null;ENVIRONMENTAL BIOTECHNOLOGY 2;EBT260S;null;null
null;null;null;null;ENVIRONMENTAL GEOLOGY 2B;EVG261S;null;null
null;null;null;null;ENVIRONMENTAL HEALTH AND SAFETY;EHS250S;null;null
null;null;null;null;ENVIRONMENTAL HYDROLOGY 2;EGH250S;null;null
null;null;null;null;ENVIRONMENTAL MANAGEMENT 2B;EVM261S;null;null
null;null;null;null;ENVIRONMENTAL RESOURCES 2B;ERS261S;null;null
null;null;null;3;ENVIRONMENTAL LEGISLATION 3;EVL360S;null;null
null;null;null;null;ENVIRONMENTAL MANAGEMENT 3;EVM360S;null;null
null;null;null;null;ENVIRONMENTAL RESOURCES 3;ERS360S;null;null
null;null;null;null;INDUSTRIAL PROCESSES 3;IDP360S;null;null
null;null;null;null;PROFESSIONAL PRACTICE: WORK PREP SKILLS;PFP350S;null;null
null;null;null;null;ENVIRONMENTAL BIOTECHNOLOGY;EBT360S;null;null
null;null;null;null;ENVIRONMENTAL CHEMISTRY;ENC360S;null;null
null;null;null;null;ENVIRONMENTAL ECONOMICS;EVE360S;null;null
null;null;null;null;ENVIRONMENTAL GEOHYDROLOGY;EGH360S;null;null
null;null;null;null;ENVIRONMENTAL GEOLOGY;EVG360S;null;null
null;null;null;null;GEOTECHNOLOGY 3;GTY360S;null;null
null;null;null;null;PROFESSIONAL ENVIRONMENTAL PRACTICE 3;PEP360S;null;null
null;null;Diploma in Food Technology;1;CHEMISTRY 1;CMY150S;null;null
null;null;null;null;FOOD MICROBIOLOGY 1;MIB150S;null;null
null;null;null;null;FOOD PROJECT 1;FPJ150S;null;null
null;null;null;null;FOOD TECHNOLOGY 1;FOT150S;null;null
null;null;null;null;MATHEMATICS 1;MTH150S;null;null
null;null;null;null;PHYSICS 1;PHS150S;null;null
null;null;null;null;BIOMETRICS 1;BMS150S;null;null
null;null;null;2;FOOD ANALYSIS 2;FAL260S;null;null
null;null;null;null;FOOD CHEMISTRY 2;FOC260S;null;null
null;null;null;null;FOOD MANUFACTURING CONTROL 2;FMT260S;null;null
null;null;null;null;FOOD MICROBIOLOGY 2;MIB260S;null;null
null;null;null;null;FOOD PROCESS ENGINEERING 2;FPE260S;null;null
null;null;null;null;FOOD PRODUCT DEVELOPMENT 2;FPD260S;null;null
null;null;null;null;FOOD PROJECT 2;FPJ260S;null;null
null;null;null;null;FOOD QUALITY ASSURANCE 2;FQA260S;null;null
null;null;null;null;FOOD TECHNOLOGY 2;FOT260S;null;null
null;null;null;3;FOOD ANALYSIS 3;FAL360S;null;null
null;null;null;null;FOOD CHEMISTRY 3;FOC360S;null;null
null;null;null;null;FOOD ENGINEERING 3;FEN360S;null;null
null;null;null;null;FOOD MICROBIOLOGY 3;MIB360S;null;null
null;null;null;null;FOOD PRODUCT DEVELOPMENT 3;FPD360S;null;null
null;null;null;null;FOOD PROJECT 3A;FPJ360S;null;null
null;null;null;null;FOOD QUALITY ASSURANCE 3;FQA360S;null;null
null;null;null;null;FOOD TECHNOLOGY 3;FOT360S;null;null
null;null;null;null;FOOD INDUSTRY PRACTICE 3;FIT360S;null;null
null;null;null;null;FOOD MANUFACTURING PRACTICE 3;FMP360S;null;null
null;null;null;null;FOOD PROJECT 3B;FPJ361S;null;null
null;null;Extended Diploma in Food Technology;1;BIOMETRICS 1;BMS150X;null;null
null;null;null;null;FOOD MICROBIOLOGY 1;MIB150X;null;null
null;null;null;null;FOOD PROJECT 1B;FPJ151X;null;null
null;null;null;null;FOOD TECHNOLOGY 1;FOT150S;null;null
null;null;null;2;FOOD ANALYSIS 2;FAL260S;null;null
null;null;null;null;FOOD CHEMISTRY 2;FOC260S;null;null
null;null;null;null;FOOD MANUFACTURING CONTROL 2;FMT260S;null;null
null;null;null;null;FOOD MICROBIOLOGY 2;MIB260S;null;null
null;null;null;null;FOOD PROCESS ENGINEERING 2;FPE260S;null;null
null;null;null;null;FOOD PRODUCT DEVELOPMENT 2;FPD260S;null;null
null;null;null;null;FOOD PROJECT 2;FPJ260S;null;null
null;null;null;null;FOOD QUALITY ASSURANCE 2;FQA260S;null;null
null;null;null;null;FOOD TECHNOLOGY 2;FOT260S;null;null
null;null;null;3;FOOD ANALYSIS 3;FAL360S;null;null
null;null;null;null;FOOD CHEMISTRY 3;FOC360S;null;null
null;null;null;null;FOOD ENGINEERING 3;FEN360S;null;null
null;null;null;null;FOOD MICROBIOLOGY 3;MIB360S;null;null
null;null;null;null;FOOD PRODUCT DEVELOPMENT 3;FPD360S;null;null
null;null;null;null;FOOD PROJECT 3A;FPJ360S;null;null
null;null;null;null;FOOD QUALITY ASSURANCE 3;FQA360S;null;null
null;null;null;null;FOOD TECHNOLOGY 3;FOT360S;null;null
null;null;null;null;FOOD INDUSTRY PRACTICE 3;FIT360S;null;null
null;null;null;null;FOOD MANUFACTURING PRACTICE 3;FMP360S;null;null
null;null;null;null;FOOD PROJECT 3B;FPJ361S;null;null
null;null;Diploma in Horticulture;1;BOTANY 1A;BOT150S;null;null
null;null;null;null;COMMUNICATION;CIM150S;null;null
null;null;null;null;COMPUTER SKILLS;KOR150S;null;null
null;null;null;null;GREENHOUSE TECHNOLOGY;GHT150S;null;null
null;null;null;null;HORTICULTURAL SCIENCES;HSC150S;null;null
null;null;null;null;BOTANY 1B;BOT151S;null;null
null;null;null;null;GROWTH MEDIA TECHNOLOGY;GMT150S;null;null
null;null;null;null;HORTICULTURAL MANAGEMENT 1;HOM150S;null;null
null;null;null;null;HORTICULTURE 1;HOK150S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 1;PTS150S;null;null
null;null;null;2;ENVIRONMENTAL STUDIES 2A;EVS250S;null;null
null;null;null;null;HORTICULTURAL MECHANISATION;HMC250S;null;null
null;null;null;null;HORTICULTURE 2;HOK260S;null;null
null;null;null;null;HORTICULTURE INTEGRATED PROJECT 2A;HIP250S;null;null
null;null;null;null;PLANT DISEASES;PLD250S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 2;PTS260S;null;null
null;null;null;null;PLANT PESTS;PLT250S;null;null
null;null;null;null;ENVIRONMENTAL STUDIES 2B;EVS260S;null;null
null;null;null;null;HORTICULTURE 2;HOK260S;null;null
null;null;null;null;HORTICULTURE INTEGRATED PROJECT 2B;HIP260S;null;null
null;null;null;null;HORTICULTURE MANAGEMENT 2;HOM260S;null;null
null;null;null;null;PLANT DISEASES;PLD250S;null;null
null;null;null;null;PLANT PESTS;PLT250S;null;null
null;null;null;null;TURFGRASS CULTURE;TGC250S;null;null
null;null;null;3;HORTICULTURAL MANAGEMENT 3;HOM360S;null;null
null;null;null;null;HORTICULTURE 3;HOK360S;null;null
null;null;null;null;HORTICULTURE INTEGRATED PROJECT 3;HIP360S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 3;PTS360S;null;null
null;null;null;null;PLANT PHYSIOLOGY;PPY360S;null;null
null;null;null;null;HORTICULTURE WORKPLACE-BASED LEARNING 3;HPR360S;null;null
null;null;Extended Diploma in Horticulture;1;BOTANY 1A;BOT150S;null;null
null;null;null;null;COMMUNICATION;CIM150S;null;null
null;null;null;null;COMPUTER SKILLS;KOR150S;null;null
null;null;null;null;GREENHOUSE TECHNOLOGY;GHT150S;null;null
null;null;null;null;HORTICULTURAL SCIENCES;HSC150S;null;null
null;null;null;null;BOTANY 1B;BOT151S;null;null
null;null;null;null;GROWTH MEDIA TECHNOLOGY;GMT150S;null;null
null;null;null;null;HORTICULTURAL MANAGEMENT 1;HOM150S;null;null
null;null;null;null;HORTICULTURE 1;HOK150S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 1;PTS150S;null;null
null;null;null;2;ENVIRONMENTAL STUDIES 2A;EVS250S;null;null
null;null;null;null;HORTICULTURAL MECHANISATION;HMC250S;null;null
null;null;null;null;HORTICULTURE 2;HOK260S;null;null
null;null;null;null;HORTICULTURE INTEGRATED PROJECT 2A;HIP250S;null;null
null;null;null;null;PLANT DISEASES;PLD250S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 2;PTS260S;null;null
null;null;null;null;PLANT PESTS;PLT250S;null;null
null;null;null;null;ENVIRONMENTAL STUDIES 2B;EVS260S;null;null
null;null;null;null;HORTICULTURE 2;HOK260S;null;null
null;null;null;null;HORTICULTURE INTEGRATED PROJECT 2B;HIP260S;null;null
null;null;null;null;HORTICULTURE MANAGEMENT 2;HOM260S;null;null
null;null;null;null;PLANT DISEASES;PLD250S;null;null
null;null;null;null;PLANT PESTS;PLT250S;null;null
null;null;null;null;TURFGRASS CULTURE;TGC250S;null;null
null;null;null;3;HORTICULTURAL MANAGEMENT 3;HOM360S;null;null
null;null;null;null;HORTICULTURE 3;HOK360S;null;null
null;null;null;null;HORTICULTURE INTEGRATED PROJECT 3;HIP360S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 3;PTS360S;null;null
null;null;null;null;PLANT PHYSIOLOGY;PPY360S;null;null
null;null;null;null;HORTICULTURE WORKPLACE-BASED LEARNING 3;HPR360S;null;null
null;null;Diploma in Landscape Architecture;1;BOTANY;PLM150S;null;null
null;null;null;null;COMPUTER SKILLS;CPU150S;null;null
null;null;null;null;CONSTRUCTION DRAWING 1A;CDG150S;null;null
null;null;null;null;DESIGN DRAWING;DDG150S;null;null
null;null;null;null;INTEGRATED DESIGN STUDIO 1A;IDS150S;null;null
null;null;null;null;LANDSCAPE MATHEMATICS & STRUCTURES;LMS150S;null;null
null;null;null;null;CONSTRUCTION 1;CSN150S;null;null
null;null;null;null;CONSTRUCTION DRAWING 1B;CDG151S;null;null
null;null;null;null;DESIGN THEORY 1;DET150S;null;null
null;null;null;null;INTEGRATED DESIGN STUDIO 1B;IDS151S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 1;PTM150S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 1;PSP150S;null;null
null;null;null;null;SITE ANALYSIS AND PLANNING;SAP150S;null;null
null;null;null;2;CONSTRUCTION 2A;CNT260S;null;null
null;null;null;null;CONSTRUCTION DRAWING 2A;CDG260S;null;null
null;null;null;null;DESIGN THEORY 2A;DET250S;null;null
null;null;null;null;GROWTH MEDIA TECHNOLOGY;GRT260S;null;null
null;null;null;null;INTEGRATED DESIGN STUDIO 2A;IDS260S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 2A;PTM260S;null;null
null;null;null;null;PLANT PROTECTION;PTP260S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 2A;PSP250S;null;null
null;null;null;null;TURFGRASS CULTURE;TGC360S;null;null
null;null;null;null;CONSTRUCTION 2B;CNT261S;null;null
null;null;null;null;CONSTRUCTION DRAWING 2B;CDG261S;null;null
null;null;null;null;DESIGN THEORY 2B;DET260S;null;null
null;null;null;null;GROWTH MEDIA TECHNOLOGY;GRT260S;null;null
null;null;null;null;INTEGRATED DESIGN STUDIO 2B;IDS261S;null;null
null;null;null;null;PLANT PROTECTION;PTP260S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 2B;PSP260S;null;null
null;null;null;null;TURFGRASS CULTURE;TGC360S;null;null
null;null;null;3;CONSTRUCTION 3;CNT360S;null;null
null;null;null;null;CONSTRUCTION DRAWING 3;CDG360S;null;null
null;null;null;null;DESIGN THEORY 3;DET360S;null;null
null;null;null;null;INTEGRATED DESIGN STUDIO 3;IDS360S;null;null
null;null;null;null;MECHANISATION;HMC350S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 2B;PTM261S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 3;PSP360S;null;null
null;null;null;null;LANDSCAPE ARCHITECTURE WORKPLACE-BASED LRNG 3;PBL360S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 2B;PTM261S;null;null
null;null;Extended Diploma in Landscape Architecture;1;BOTANY;PLM150S;null;null
null;null;null;null;COMPUTER SKILLS;CPU150S;null;null
null;null;null;null;CONSTRUCTION DRAWING 1A;CDG150S;null;null
null;null;null;null;DESIGN DRAWING;DDG150S;null;null
null;null;null;null;INTEGRATED DESIGN STUDIO 1A;IDS150S;null;null
null;null;null;null;LANDSCAPE MATHEMATICS & STRUCTURES;LMS150S;null;null
null;null;null;null;CONSTRUCTION 1;CSN150S;null;null
null;null;null;null;CONSTRUCTION DRAWING 1B;CDG151S;null;null
null;null;null;null;DESIGN THEORY 1;DET150S;null;null
null;null;null;null;INTEGRATED DESIGN STUDIO 1B;IDS151S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 1;PTM150S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 1;PSP150S;null;null
null;null;null;null;SITE ANALYSIS AND PLANNING;SAP150S;null;null
null;null;null;2;CONSTRUCTION 2A;CNT260S;null;null
null;null;null;null;CONSTRUCTION DRAWING 2A;CDG260S;null;null
null;null;null;null;DESIGN THEORY 2A;DET250S;null;null
null;null;null;null;GROWTH MEDIA TECHNOLOGY;GRT260S;null;null
null;null;null;null;INTEGRATED DESIGN STUDIO 2A;IDS260S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 2A;PTM260S;null;null
null;null;null;null;PLANT PROTECTION;PTP260S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 2A;PSP250S;null;null
null;null;null;null;TURFGRASS CULTURE;TGC360S;null;null
null;null;null;null;CONSTRUCTION 2B;CNT261S;null;null
null;null;null;null;CONSTRUCTION DRAWING 2B;CDG261S;null;null
null;null;null;null;DESIGN THEORY 2B;DET260S;null;null
null;null;null;null;GROWTH MEDIA TECHNOLOGY;GRT260S;null;null
null;null;null;null;INTEGRATED DESIGN STUDIO 2B;IDS261S;null;null
null;null;null;null;PLANT PROTECTION;PTP260S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 2B;PSP260S;null;null
null;null;null;null;TURFGRASS CULTURE;TGC360S;null;null
null;null;null;3;CONSTRUCTION 3;CNT360S;null;null
null;null;null;null;CONSTRUCTION DRAWING 3;CDG360S;null;null
null;null;null;null;DESIGN THEORY 3;DET360S;null;null
null;null;null;null;INTEGRATED DESIGN STUDIO 3;IDS360S;null;null
null;null;null;null;MECHANISATION;HMC350S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 2B;PTM261S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 3;PSP360S;null;null
null;null;null;null;LANDSCAPE ARCHITECTURE WORKPLACE-BASED LRNG 3;PBL360S;null;null
null;null;null;null;PLANT MATERIAL STUDIES 2B;PTM261S;null;null
null;null;Extended Diploma in Marine Science;1;COMPUTER SKILLS 1;KOR151X;null;null
null;null;null;null;ECOLOGY 1;ECL150X;null;null
null;null;null;null;ECOLOGY 2;ECL160X;null;null
null;null;null;null;MARINE BIOLOGY 1;MAB150X;null;null
null;null;null;2;COASTAL MANAGEMENT 1;CSM250S;null;null
null;null;null;null;COASTAL MANAGEMENT 2;CSM260S;null;null
null;null;null;null;COMPUTER SKILLS 2;KOR260S;null;null
null;null;null;null;MARINE AQUACULTURE 1;MAQ250S;null;null
null;null;null;null;MARINE BIOLOGY 2;MAB260S;null;null
null;null;null;null;MARINE LAW 1;MAL260S;null;null
null;null;null;null;MARINE POLLUTION 1;MAP260S;null;null
null;null;null;null;MARINE RESOURCE MANAGEMENT 1;MRS260S;null;null
null;null;null;null;MARINE SCIENCE 2;MAS260S;null;null
null;null;null;null;MARINE TECHNOLOGY;MAT260S;null;null
null;null;null;3;BUSINESS PRINCIPLES;BUS360S;null;null
null;null;null;null;ECOLOGY 3;ECL360S;null;null
null;null;null;null;MARINE BIOLOGY 3;MAB360S;null;null
null;null;null;null;MARINE SCIENCE 3;MAS360S;null;null
null;null;null;null;MARINE SCIENCE INDUSTRY PRACTICE 1;MSI360S;null;null
null;null;null;null;COASTAL MANAGEMENT 3;CSM360S;null;null
null;null;null;null;MARINE AQUACULTURE 2;MAQ360S;null;null
null;null;null;null;MARINE LAW 2;MAL360S;null;null
null;null;Bachelor of Food Science and Technology;1;BIOMETRICS 1;BMS151S;null;null
null;null;null;null;CHEMISTRY 1;CHM154S;null;null
null;null;null;null;FOOD MICROBIOLOGY 1;FMB150S;null;null
null;null;null;null;FOOD PROJECT 1;FPJ151S;null;null
null;null;null;null;FOOD SCIENCE AND TECHNOLOGY 1;FST150S;null;null
null;null;null;null;MATHEMATICS 1;MAT153S;null;null
null;null;null;null;PHYSICS 1;PHY158S;null;null
null;null;null;2;CHEMISTRY 2;CHE260S;null;null
null;null;null;null;FOOD ANALYSIS 2;FAS260S;null;null
null;null;null;null;FOOD MICROBIOLOGY 2;FMB260S;null;null
null;null;null;null;FOOD PRODUCT DEVELOPMENT 2;PFD260S;null;null
null;null;null;null;FOOD PROJECT 2;FPJ261S;null;null
null;null;null;null;FOOD SCIENCE AND TECHNOLOGY 2;FST260S;null;null
null;null;null;null;FOOD MANUFACTURING CONTROL 2;FMC260S;null;null
null;null;null;null;MATHEMATICS 2;MTH265S;null;null
null;null;null;null;BIOMETRICS 2;BMS261S;null;null
null;null;null;null;FOOD PROCESS ENGINEERING 2;FPE261S;null;null
null;null;null;null;FOOD QUALITY ASSURANCE 2;FQA261S;null;null
null;null;null;3;FOOD ANALYSIS 3;FAS370S;null;null
null;null;null;null;FOOD CHEMISTRY 3;FCH370S;null;null
null;null;null;null;FOOD MANUFACTURING CONTROL 3;FMC370S;null;null
null;null;null;null;FOOD MICROBIOLOGY 3;FMB370S;null;null
null;null;null;null;FOOD PROCESS ENGINEERING 3;FPE370S;null;null
null;null;null;null;FOOD PRODUCT DEVELOPMENT 3;FPD370S;null;null
null;null;null;null;FOOD PROJECT 3;FPJ370S;null;null
null;null;null;null;FOOD QUALITY ASSURANCE 3;FQA370S;null;null
null;null;null;null;FOOD SCIENCE AND TECHNOLOGY 3;FST370S;null;null
null;null;null;4;FOOD ANALYSIS AND BIOSTATISTICS 4;FAB480S;null;null
null;null;null;null;FOOD CHEMISTRY 4;FCH480S;null;null
null;null;null;null;FOOD MICROBIOLOGY 4;FMB480S;null;null
null;null;null;null;FOOD PRODUCT DEVELOPMENT 4;FPD480S;null;null
null;null;null;null;FOOD RESEARCH PROJECT 4;FRP480S;null;null
null;null;null;null;FOOD SCIENCE AND TECHNOLOGY 4;FST480S;null;null
null;null;null;null;FOOD PACKAGING 4;FPK480S;null;null
null;null;null;null;FOOD SAFETY 4;FSY480S;null;null
null;null;Diploma in Mathematical Sciences;1;COMMUNICATIONS SKILLS;CLS150S;null;null
null;null;null;null;COMPUTER SKILLS;CPL150S;null;null
null;null;null;null;DATA MANAGEMENT;DTM150S;null;null
null;null;null;null;FINANCE 1;FIN150S;null;null
null;null;null;null;MATHEMATICS 1A: CALCULUS & LINEAR ALGEBRA I;MTM150S;null;null
null;null;null;null;STATISTICS 1A: PROBABILITY & SUMMARY STATS;STA150S;null;null
null;null;null;null;PHYSICS;PHC150S;null;null
null;null;null;null;DATA MANAGEMENT;DTM150S;null;null
null;null;null;null;MATHEMATICS 1B: CALCULUS & LINEAR ALGEBRA II;MTM151S;null;null
null;null;null;null;NUMERICAL METHODS 1;NUM150S;null;null
null;null;null;null;STATISTICS 1B: ESTIMATION & HYPOTHESIS TESTS;STA151S;null;null
null;null;null;null;BIOSCIENCES 1;BSC150S;null;null
null;null;null;null;ECONOMICS 1: MICROECONOMICS;ECO150S;null;null
null;null;null;2;ENTREPRENEURSHIP;ETR260S;null;null
null;null;null;null;MATHEMATICS 2A: MULTIVARIABLE CALCULUS I;MTM260S;null;null
null;null;null;null;PROGRAMMING 2A;PGM260S;null;null
null;null;null;null;STATISTICS 2A: MODELS FOR DATA ANALYSIS;STA260S;null;null
null;null;null;null;CHEMISTRY 2;CHE250S;null;null
null;null;null;null;ECONOMICS 2: MACROECONOMICS;ECO250S;null;null
null;null;null;null;FINANCIAL MATHEMATICS 2;FMS260S;null;null
null;null;null;null;PROGRAMMING FOR STATISTICS 3;PST360S;null;null
null;null;null;null;MATHEMATICS 2B: MULTIVARIABLE CALCULUS II;MTM261S;null;null
null;null;null;null;NUMERICAL METHODS 2;NUM260S;null;null
null;null;null;null;PROGRAMMING 2B;PGM261S;null;null
null;null;null;null;STATISTICS 2B: SURVEY & SAMPLING METHODS;STA261S;null;null
null;null;null;null;BIOMATHEMATICS 2;BMS260S;null;null
null;null;null;null;FINANCE 2;FIN260S;null;null
null;null;null;null;FINANCIAL MATHEMATICS 2;FMS260S;null;null
null;null;null;null;PROGRAMMING FOR STATISTICS 3;PST360S;null;null
null;null;null;3;INTRODUCTION TO PROJECTS;PRJ360S;null;null
null;null;null;null;MATHEMATICS 3A: PARTIAL DIFF EQUATIONS;MTM360S;null;null
null;null;null;null;MATHEMATICS 3B: DISCRETE MATHEMATICS;MTM361S;null;null
null;null;null;null;STATISTICAL QUALITY CONTROL 3;SQC360S;null;null
null;null;null;null;BIOMATHEMATICS 3;BMS360S;null;null
null;null;null;null;BIOSTATISTICS 3;BTS360S;null;null
null;null;null;null;ECONOMETRICS 3;ENT360S;null;null
null;null;null;null;FINANCIAL MATHEMATICS 3;FMT360S;null;null
null;null;null;null;MATHEMATICAL SCIENCE PROJECT 3;MSP360S;null;null
null;null;null;null;OPERATIONS RESEARCH 3;OPR360S;null;null
null;null;null;null;STATISTICAL QUALITY CONTROL 3;SQC360S;null;null
null;null;Extended Diploma in Mathematical Sciences;1;BIOSCIENCES 1;BSC150X;null;null
null;null;null;null;DATA MANAGEMENT 1;DTM150X;null;null
null;null;null;null;MATHEMATICS 1B: CALCULUS & LINEAR ALGEBRA II;MTM151X;null;null
null;null;null;null;NUMERICAL METHODS 1;NUM150X;null;null
null;null;null;null;STATISTICS 1B: ESTIMATION & HYPOTHESIS TESTS;STA151X;null;null
null;null;null;null;ECONOMICS 1: MICROECONOMICS;ECO150X;null;null
null;null;null;2;ENTREPRENEURSHIP;ETR260S;null;null
null;null;null;null;MATHEMATICS 2A: MULTIVARIABLE CALCULUS I;MTM260S;null;null
null;null;null;null;PROGRAMMING 2A;PGM260S;null;null
null;null;null;null;STATISTICS 2A: MODELS FOR DATA ANALYSIS;STA260S;null;null
null;null;null;null;CHEMISTRY 2;CHE250S;null;null
null;null;null;null;ECONOMICS 2: MACROECONOMICS;ECO250S;null;null
null;null;null;null;PROGRAMMING FOR STATISTICS 3;PST360S;null;null
null;null;null;null;MATHEMATICS 2B: MULTIVARIABLE CALCULUS II;MTM261S;null;null
null;null;null;null;NUMERICAL METHODS 2;NUM260S;null;null
null;null;null;null;PROGRAMMING 2B;PGM261S;null;null
null;null;null;null;STATISTICS 2B: SURVEY & SAMPLING METHODS;STA261S;null;null
null;null;null;null;BIOMATHEMATICS 2;BMS260S;null;null
null;null;null;null;FINANCE 2;FIN260S;null;null
null;null;null;null;PROGRAMMING FOR STATISTICS 3;PST360S;null;null
null;null;null;3;INTRODUCTION TO PROJECTS;PRJ360S;null;null
null;null;null;null;MATHEMATICS 3A: PARTIAL DIFF EQUATIONS;MTM360S;null;null
null;null;null;null;MATHEMATICS 3B: DISCRETE MATHEMATICS;MTM361S;null;null
null;null;null;null;STATISTICAL QUALITY CONTROL 3;SQC360S;null;null
null;null;null;null;BIOMATHEMATICS 3;BMS360S;null;null
null;null;null;null;BIOSTATISTICS 3;BTS360S;null;null
null;null;null;null;ECONOMETRICS 3;ENT360S;null;null
null;null;null;null;FINANCIAL MATHEMATICS 3;FMT360S;null;null
null;null;null;null;MATHEMATICAL SCIENCE PROJECT 3;MSP360S;null;null
null;null;null;null;OPERATIONS RESEARCH 3;OPR360S;null;null
null;null;null;null;STATISTICAL QUALITY CONTROL 3;SQC360S;null;null
null;FACULTY OF HEALTH SCIENCES;BACHELOR OF SCIENCE IN MED LAB SCIENCE;1;HUMAN ANATOMY, PHYSIOLOGY & DISEASE;APD100S;null;null
null;null;null;null;IMMUNOLOGY 1;IMM100S;null;null
null;null;null;null;INTRODUCTION TO MEDICAL LABORATORY SCIENCES 1;MLB101S;null;null
null;null;null;null;BIOSTATISTICS;BTA100S;null;null
null;null;null;null;COMMUNICATIONS;CMM103S;null;null
null;null;null;null;COMPUTER SKILLS;CPS103S;null;null
